,genre,imdb_id,imdb_rating,imdb_votes,rated,released,runtime,title,year,ebay,etsy,bonanza
0,Drama,tt1719758,3.9,123,,11 May 2015,,America's Court with Judge Ross,2010–,0,0,0
1,"Documentary, Reality-TV",tt1596786,7.0,"6,254",TV-PG,18 Jan 2010,60 min,American Pickers,2010–,5,2,0
2,Documentary,tt3021452,7.3,18,,01 Dec 2010,,Ancient Aliens: The Mission,2010–,0,405,0
3,"Crime, Drama, Mystery, Thriller",tt1595859,7.5,"29,313",TV-14,24 Sep 2010,43 min,Blue Bloods,2010–,98,19,10
4,"Comedy, Music, Talk-Show",tt1637574,8.1,"20,564",TV-14,08 Nov 2010,42 min,Conan,2010–,252,30,0
5,"Documentary, Crime",tt1688779,7.8,"1,145",TV-14,11 Jul 2010,44 min,"Drugs, Inc.",2010–,0,107,0
6,Reality-TV,tt1800864,7.3,"3,822",TV-14,03 Dec 2010,45 min,Gold Rush: Alaska,2010–,1,10,0
7,"Game-Show, Reality-TV",tt1711420,6.6,477,,15 Aug 2010,60 min,The Great Food Truck Race,2010–,0,18,0
8,"Action, Crime, Drama",tt1600194,7.3,"62,054",TV-14,20 Sep 2010,42 min,Hawaii Five-0,2010–,316,16,0
9,Documentary,tt1832668,9.0,"4,713",TV-PG,25 Apr 2010,60 min,How the Universe Works,2010–,0,1908,0
10,"News, Talk-Show",tt1752508,6.1,363,,27 Sep 2010,60 min,The Last Word with Lawrence O'Donnell,2010–,0,0,0
11,"Game-Show, Reality-TV",tt1694423,7.3,"6,692",TV-14,27 Jul 2010,42 min,Masterchef,2010–,35,2,1
12,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical, Sci-Fi",tt1751105,7.6,"18,049",TV-Y,10 Oct 2010,22 min,My Little Pony: Friendship Is Magic,2010–2019,673,6,0
13,"Documentary, Adventure, Biography, Crime, History, Mystery",tt2076566,8.1,897,TV-PG,02 Nov 2010,60 min,Mysteries at the Museum,2010–,0,1,0
14,Reality-TV,tt1720601,4.8,"4,205",TV-14,14 Oct 2010,44 min,The Real Housewives of Beverly Hills,2010–,0,4,0
15,Reality-TV,tt1730755,5.8,393,,30 Jul 2010,,Say Yes to the Dress: Atlanta,2010–,0,6,0
16,Reality-TV,tt1721666,4.4,"2,003",,26 Sep 2010,42 min,Sister Wives,2010–,0,56,0
17,Reality-TV,tt1785123,6.4,"8,232",TV-14,01 Dec 2010,22 min,Storage Wars,2010–,14,1,1
18,"Action, Reality-TV",tt1747551,6.3,"1,987",TV-PG,22 Aug 2010,43 min,Swamp People,2010–,29,1,8
19,Talk-Show,tt1740718,3.7,"1,564",TV-14,18 Oct 2010,60 min,The Talk,2010–,772,184,6
20,Reality-TV,tt1734192,6.2,257,,14 Oct 2010,30 min,The Vanilla Ice Project,2010–,0,2,0
